Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	Duration	High Price While Open	Low Price While Open	Exit Efficiency	Entry Efficiency	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Note	Total Efficiency	Commission (C)	Open Position Quantity	Close Position Quantity
[Sim]F.US.GCEQ21 (Sim113)	Short	2016-01-03  18:37:32.006 BP	2016-01-03  19:21:14.001 EP	1061.2	1063.3	2	2	2	-428.40	-428.40	00:43:41	1063.3	1061.0	-1.8%	100.0%	-428.40 F	40.00	-420.01	40.00	-420.01	IPS2+TM(all)	-93.1%	8.40	2	0
[Sim]F.US.GCEQ21	Long	2016-01-04  00:21:07.004 BP	2016-01-04  00:40:05.020	1065.7	1066.7	1	2	1	95.80	-332.60	00:18:58	1066.8	1064.8	92.9%	100.0%	95.80	110.00	-90.00	110.00	-90.00	IPS2+TM(all)	47.9%	4.20	2	1
[Sim]F.US.GCEQ21	Long	2016-01-04  00:21:07.004	2016-01-04  06:48:51.049 EP	1065.7	1071.6	1	2	2	585.80	253.20	06:27:44	1074.2	1064.8	67.2%	100.0%	681.60 F	960.01	-179.99	850.01	-90.00	IPS2+TM(all)	51.4%	4.20	2	0
[Sim]F.US.GCEQ21	Short	2016-01-04  10:49:35.053 BP	2016-01-04  11:21:43.085	1077.1	1076.1	1	2	1	95.80	349.00	00:32:08	1078.2	1076.0	93.5%	100.0%	95.80	110.00	-110.01	110.00	-110.01	IPS2+TM(all)	43.5%	4.20	2	1
[Sim]F.US.GCEQ21	Short	2016-01-04  10:49:35.053	2016-01-04  12:06:06.001 EP	1077.1	1073.9	1	2	2	315.80	664.80	01:16:30	1078.2	1070.7	55.2%	100.0%	411.60 F	750.00	-220.01	639.99	-110.01	IPS2+TM(all)	32.6%	4.20	2	0
[Sim]F.US.GCEQ21	Short	2016-01-05  08:52:45.032 BP	2016-01-05  08:59:53.151	1076.8	1075.5	1	2	1	125.80	790.60	00:07:08	1077.5	1075.2	85.1%	100.0%	125.80	159.99	-70.00	159.99	-70.00	IPS2+TM(all)	54.7%	4.20	2	1
[Sim]F.US.GCEQ21	Short	2016-01-05  08:52:45.032	2016-01-05  10:09:39.001 EP	1076.8	1077.9	1	2	2	-114.20	676.40	01:16:53	1077.9	1074.6	11.7%	100.0%	11.60 F	380.00	-180.00	220.00	-110.00	IPS2+TM(all)	-20.4%	4.20	2	0
[Sim]F.US.GCEQ21	Long	2016-01-05  11:42:58.199 BP	2016-01-05  12:17:38.013	1079.4	1080.4	1	2	1	95.80	772.20	00:34:39	1080.4	1078.0	98.2%	100.0%	95.80	100.00	-140.00	100.00	-140.00	IPS2+TM(all)	39.9%	4.20	2	1
[Sim]F.US.GCEQ21	Long	2016-01-05  11:42:58.199	2016-01-05  13:01:33.026 EP	1079.4	1078.0	1	2	2	-144.20	628.00	01:18:34	1080.7	1077.8	29.4%	100.0%	-48.40 F	230.01	-300.00	130.01	-160.00	IPS2+TM(all)	-27.2%	4.20	2	0
[Sim]F.US.GCEQ21	Short	2016-01-06  21:31:38.028 BP	2016-01-06  21:50:31.001	1098.4	1097.4	1	2	1	95.80	723.80	00:18:52	1099.8	1097.3	94.3%	100.0%	95.80	110.00	-140.00	110.00	-140.00	IPS2+TM(all)	38.3%	4.20	2	1
