Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (C)	Cumulative Profit/Loss (C)	Duration	High Price While Open	Low Price While Open	Exit Efficiency	Entry Efficiency	FlatToFlat Profit/Loss (C)	FlatToFlat Max Open Profit (C)	FlatToFlat Max Open Loss (C)	Max Open Profit (C)	Max Open Loss (C)	Note	Total Efficiency	Commission (C)	Open Position Quantity	Close Position Quantity
[Sim]F.US.GCEQ21 (Sim100)	Short	2016-01-03  18:15:17.003 BP	2016-01-03  18:39:34.001	1063.1	1061.1	1	2	1	195.80	195.80	00:24:16	1063.3	1061.0	93.8%	100.0%	195.80	210.00	-20.00	210.00	-20.00	IPS2+TM(all)	85.1%	4.20	2	1
[Sim]F.US.GCEQ21	Short	2016-01-03  18:15:17.003	2016-01-03  18:42:50.001 EP	1063.1	1062.0	1	2	2	105.80	301.60	00:27:32	1063.3	1061.0	31.7%	100.0%	301.60 F	420.00	-40.01	210.00	-20.00	IPS2+TM(all)	23.0%	4.20	2	0
[Sim]F.US.GCEQ21	Long	2016-01-03  19:26:33.003 BP	2016-01-03  20:19:43.001 EP	1063.6	1061.6	2	2	2	-408.40	-106.80	00:53:09	1064.7	1061.6	-1.4%	100.0%	-408.40 F	220.01	-400.01	220.01	-400.01	IPS2+TM(all)	-65.9%	8.40	2	0
[Sim]F.US.GCEQ21	Short	2016-01-03  20:19:43.009 BP	2016-01-03  21:27:22.012 EP	1061.6	1063.6	2	2	2	-408.40	-515.20	01:07:39	1063.6	1061.5	-2.0%	100.0%	-408.40 F	20.00	-400.00	20.00	-400.00	IPS2+TM(all)	-97.2%	8.40	2	0
[Sim]F.US.GCEQ21	Long	2016-01-03  21:28:48.004 BP	2016-01-04  00:20:14.059	1063.7	1065.7	1	2	1	195.80	-319.40	02:51:26	1065.8	1062.6	95.6%	100.0%	195.80	210.00	-110.00	210.00	-110.00	IPS2+TM(all)	61.2%	4.20	2	1
[Sim]F.US.GCEQ21	Long	2016-01-03  21:28:48.004	2016-01-04  01:12:25.048 EP	1063.7	1067.4	1	2	2	365.80	46.40	03:43:37	1068.4	1062.6	65.1%	100.0%	561.60 F	680.00	-220.01	470.00	-110.00	IPS2+TM(all)	40.6%	4.20	2	0
[Sim]F.US.GCEQ21	Long	2016-01-04  03:30:23.010 BP	2016-01-04  04:30:10.001 EP	1072.6	1070.6	2	2	2	-408.40	-362.00	00:59:46	1073.4	1070.6	-1.5%	100.0%	-408.40 F	160.00	-400.01	160.00	-400.01	IPS2+TM(all)	-72.9%	8.40	2	0
[Sim]F.US.GCEQ21	Short	2016-01-04  04:30:10.009 BP	2016-01-04  04:56:42.014 EP	1070.6	1072.5	2	2	2	-388.40	-750.40	00:26:32	1072.6	1070.6	2.9%	100.0%	-388.40 F	0.00	-399.99	0.00	-399.99	IPS2+TM(all)	-97.1%	8.40	2	0
[Sim]F.US.GCEQ21	Short	2016-01-04  10:18:11.003 BP	2016-01-04  10:23:34.160	1080.5	1078.5	1	2	1	195.80	-554.60	00:05:23	1080.7	1078.1	83.0%	100.0%	195.80	240.00	-20.01	240.00	-20.01	IPS2+TM(all)	75.3%	4.20	2	1
[Sim]F.US.GCEQ21	Short	2016-01-04  10:18:11.003	2016-01-04  10:31:06.001 EP	1080.5	1079.4	1	2	2	105.80	-448.80	00:12:54	1080.7	1078.1	28.0%	100.0%	301.60 F	480.01	-40.01	240.00	-20.01	IPS2+TM(all)	20.3%	4.20	2	0
